,수치,비율,시도,YEAR,전년대비증가율
휴업,150.0,0.26348146847005094,전남,2020,0.04265499825447361
총합,56930.0,100.0,전남,2020,0.0
관심,1001.0,1.7073753155488844,전북,2020,-0.7569123287866766
관찰1,1657.0,2.8262946032612404,전북,2020,-0.2522635723012403
관찰2,4632.0,7.90066179982261,전북,2020,-0.21275307597224735
관찰3,1150.0,1.9615200927884286,전북,2020,-0.33704060470585206
부도,0.0,0.0,전북,2020,-0.005404139570911318
정상,44295.0,75.55263696527257,전북,2020,0.42789141017736654
폐업,5774.0,9.848536535443815,전북,2020,1.079419391711717
휴업,119.0,0.2029746878624548,전북,2020,0.05706291944784922
총합,58628.0,100.0,전북,2020,0.0
관심,537.0,2.3585734364019677,제주,2020,-0.7944584975772213
관찰1,533.0,2.341004919184821,제주,2020,0.21057793676644998
관찰2,1093.0,4.800597329585383,제주,2020,0.16299417206833944
관찰3,449.0,1.9720660576247364,제주,2020,0.15559673577328326
부도,0.0,0.0,제주,2020,0.0
정상,17801.0,78.18429374560787,제주,2020,-1.7762372913494318
폐업,2294.0,10.075544624033732,제주,2020,1.9709518719705823
휴업,61.0,0.2679198875614898,제주,2020,0.07057507234799862
총합,22768.0,100.0,제주,2020,0.0
관심,1043.0,1.6409691629955945,충남,2020,-0.15911518959824789
관찰1,1913.0,3.0097545626179985,충남,2020,-0.17371232898891842
관찰2,4946.0,7.781623662680931,충남,2020,-0.7531717822790016
관찰3,1051.0,1.6535556954059158,충남,2020,-0.3641583493009586
부도,5.0,0.007866582756450599,충남,2020,0.007866582756450599
정상,47971.0,75.47356828193833,충남,2020,0.506044030567594
폐업,6503.0,10.231277533039648,충남,2020,0.8630784609181799
휴업,128.0,0.2013845185651353,충남,2020,0.07316857592489912
총합,63560.0,100.0,충남,2020,0.0
관심,774.0,1.7535910100140466,충북,2020,-0.43452594025388613
관찰1,1174.0,2.6598395940006343,충북,2020,0.036919597761093215
관찰2,2904.0,6.5793647197426255,충북,2020,-0.5890098219514606
관찰3,772.0,1.749059767094114,충북,2020,-0.35679714744946045
부도,0.0,0.0,충북,2020,-0.02820344081978001
정상,33843.0,76.67542706964521,충북,2020,0.15949212558203385
폐업,4557.0,10.324436993067199,충북,2020,1.188872454193456
휴업,114.0,0.25828084643617744,충북,2020,0.023252172938010685
총합,44138.0,100.0,충북,2020,0.0
